2025-07-08 22:12:20,632 INFO: 
------------------------ neosr ------------------------
Pytorch Version: 2.5.1+cu124. Running on gpu NVIDIA L4, with driver 535.247.01.
2025-07-08 22:12:21,673 INFO: Dataset [paired] is built.
2025-07-08 22:12:21,673 INFO: Training informations:
-------- Starting model: train_plksr_tiny_4x
-------- GPUs detected: 1
-------- Patch size: 32
-------- Dataset size: 1365
-------- Batch size per gpu: 4
-------- Accumulated batches: 4
-------- Required iters per epoch: 342
-------- Total epochs 1316 for total iters 450000.
2025-07-08 22:12:21,753 INFO: Dataset [paired] is built.
2025-07-08 22:12:21,753 INFO: Number of val images/folders: 162
2025-07-08 22:12:21,910 INFO: Using network [plksr].
2025-07-08 22:12:22,075 INFO: Using network [metagan].
2025-07-08 22:12:22,116 INFO: Loading plksr model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_g_30000.pth, with param key: [params].
2025-07-08 22:12:22,576 INFO: Loading metagan model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_d_30000.pth, with param key: [params].
2025-07-08 22:12:22,715 INFO: Using exponential-moving average.
2025-07-08 22:12:22,904 INFO: Loss [mssim_loss] enabled.
2025-07-08 22:12:22,904 INFO: Loss [gan_loss] enabled.
2025-07-08 22:12:22,904 INFO: Loss [wavelet-guided] enabled.
2025-07-08 22:12:22,904 INFO: Using model [image].
2025-07-08 22:12:23,030 INFO: [1;32mResuming training from epoch: 87, iter: 30000[0m
2025-07-08 22:12:31,806 INFO: AMP enabled with BF16.
2025-07-08 22:12:31,807 INFO: [1;32mStart training from epoch: 87, iter: 30000[0m
2025-07-08 22:29:29,099 INFO: [ epoch:  93 ] [ iter: 32,100 ] [ performance: 2.295 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 8:44:44 ] [ l_g_mssim: 1.3008e-03 ] [ l_g_gan: 2.8131e+00 ] [ l_g_total: 2.8144e+00 ] [ l_d_real: 2.5788e-05 ] [ out_d_real: 1.0750e+01 ] [ l_d_fake: 1.7384e-04 ] [ out_d_fake: -9.3750e+00 ] [ l_d_total: 9.9812e-05 ] 
2025-07-08 22:30:10,069 INFO: [ epoch:  93 ] [ iter: 32,200 ] [ performance: 2.370 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 8:18:51 ] [ l_g_mssim: 1.1340e-03 ] [ l_g_gan: 4.9605e+00 ] [ l_g_total: 4.9617e+00 ] [ l_d_real: 1.0680e-06 ] [ out_d_real: 1.3812e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.6500e+01 ] [ l_d_total: 5.3402e-07 ] 
2025-07-08 22:30:51,335 INFO: [ epoch:  93 ] [ iter: 32,300 ] [ performance: 2.500 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 7:56:04 ] [ l_g_mssim: 6.6779e-04 ] [ l_g_gan: 5.1375e+00 ] [ l_g_total: 5.1382e+00 ] [ l_d_real: 1.0416e-06 ] [ out_d_real: 1.4000e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.7125e+01 ] [ l_d_total: 5.2078e-07 ] 
2025-07-08 22:31:32,892 INFO: [ epoch:  94 ] [ iter: 32,400 ] [ performance: 2.450 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 7:35:58 ] [ l_g_mssim: 1.9377e-03 ] [ l_g_gan: 3.2391e+00 ] [ l_g_total: 3.2410e+00 ] [ l_d_real: 5.2354e-05 ] [ out_d_real: 1.0750e+01 ] [ l_d_fake: 2.2709e-05 ] [ out_d_fake: -1.0812e+01 ] [ l_d_total: 3.7531e-05 ] 
2025-07-08 22:32:11,048 INFO: [ epoch:  94 ] [ iter: 32,500 ] [ performance: 2.638 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 7:07:57 ] [ l_g_mssim: 7.8835e-04 ] [ l_g_gan: 3.9598e+00 ] [ l_g_total: 3.9606e+00 ] [ l_d_real: 7.3791e-06 ] [ out_d_real: 1.2000e+01 ] [ l_d_fake: 2.8014e-06 ] [ out_d_fake: -1.3188e+01 ] [ l_d_total: 5.0903e-06 ] 
2025-07-08 22:32:49,507 INFO: [ epoch:  94 ] [ iter: 32,600 ] [ performance: 2.618 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 6:42:51 ] [ l_g_mssim: 1.0065e-03 ] [ l_g_gan: 3.8613e+00 ] [ l_g_total: 3.8623e+00 ] [ l_d_real: 8.3280e-07 ] [ out_d_real: 1.4062e+01 ] [ l_d_fake: 2.7418e-06 ] [ out_d_fake: -1.2875e+01 ] [ l_d_total: 1.7873e-06 ] 
2025-07-08 22:33:29,046 INFO: [ epoch:  94 ] [ iter: 32,700 ] [ performance: 2.569 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 6:22:21 ] [ l_g_mssim: 7.4865e-04 ] [ l_g_gan: 2.8676e+00 ] [ l_g_total: 2.8684e+00 ] [ l_d_real: 5.2058e-06 ] [ out_d_real: 1.2250e+01 ] [ l_d_fake: 7.7903e-05 ] [ out_d_fake: -9.5625e+00 ] [ l_d_total: 4.1555e-05 ] 
2025-07-08 22:34:08,351 INFO: [ epoch:  95 ] [ iter: 32,800 ] [ performance: 2.556 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 6:02:41 ] [ l_g_mssim: 2.8465e-03 ] [ l_g_gan: 4.2797e+00 ] [ l_g_total: 4.2825e+00 ] [ l_d_real: 2.9628e-06 ] [ out_d_real: 1.3312e+01 ] [ l_d_fake: 8.3447e-07 ] [ out_d_fake: -1.4250e+01 ] [ l_d_total: 1.8986e-06 ] 
2025-07-08 22:34:46,657 INFO: [ epoch:  95 ] [ iter: 32,900 ] [ performance: 2.568 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 5:41:56 ] [ l_g_mssim: 9.2238e-04 ] [ l_g_gan: 1.8458e+00 ] [ l_g_total: 1.8467e+00 ] [ l_d_real: 2.8313e-05 ] [ out_d_real: 1.1250e+01 ] [ l_d_fake: 1.2035e+00 ] [ out_d_fake: -4.9375e+00 ] [ l_d_total: 6.0176e-01 ] 
2025-07-08 22:35:24,185 INFO: [ epoch:  95 ] [ iter: 33,000 ] [ performance: 2.619 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 5:20:44 ] [ l_g_mssim: 1.8328e-03 ] [ l_g_gan: 2.6966e+00 ] [ l_g_total: 2.6984e+00 ] [ l_d_real: 1.9194e-06 ] [ out_d_real: 1.4188e+01 ] [ l_d_fake: 4.3520e-04 ] [ out_d_fake: -9.0000e+00 ] [ l_d_total: 2.1856e-04 ] 
2025-07-08 22:36:08,751 INFO: [ epoch:  96 ] [ iter: 33,100 ] [ performance: 2.329 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 5:16:37 ] [ l_g_mssim: 1.6951e-03 ] [ l_g_gan: 3.1137e+00 ] [ l_g_total: 3.1154e+00 ] [ l_d_real: 6.8448e-07 ] [ out_d_real: 1.5062e+01 ] [ l_d_fake: 3.7253e-05 ] [ out_d_fake: -1.0375e+01 ] [ l_d_total: 1.8969e-05 ] 
2025-07-08 22:36:46,965 INFO: [ epoch:  96 ] [ iter: 33,200 ] [ performance: 2.476 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 4:58:56 ] [ l_g_mssim: 1.3982e-03 ] [ l_g_gan: 2.7961e+00 ] [ l_g_total: 2.7975e+00 ] [ l_d_real: 3.2482e-06 ] [ out_d_real: 1.2812e+01 ] [ l_d_fake: 1.1924e-04 ] [ out_d_fake: -9.3125e+00 ] [ l_d_total: 6.1244e-05 ] 
2025-07-08 22:37:22,810 INFO: [ epoch:  96 ] [ iter: 33,300 ] [ performance: 2.829 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 4:37:18 ] [ l_g_mssim: 7.4888e-04 ] [ l_g_gan: 3.5777e+00 ] [ l_g_total: 3.5785e+00 ] [ l_d_real: 1.1212e-05 ] [ out_d_real: 1.2250e+01 ] [ l_d_fake: 8.1062e-06 ] [ out_d_fake: -1.1938e+01 ] [ l_d_total: 9.6592e-06 ] 
2025-07-08 22:37:59,936 INFO: [ epoch:  96 ] [ iter: 33,400 ] [ performance: 2.754 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 4:19:30 ] [ l_g_mssim: 1.1490e-03 ] [ l_g_gan: 3.6680e+00 ] [ l_g_total: 3.6691e+00 ] [ l_d_real: 2.6891e-05 ] [ out_d_real: 1.0625e+01 ] [ l_d_fake: 5.8413e-06 ] [ out_d_fake: -1.2250e+01 ] [ l_d_total: 1.6366e-05 ] 
